date_id,release_date,year,month
1,1997-06-30,1997,6
2,1997-11-14,1997,11
3,1998-11-19,1998,11
4,1999-04-01,1999,4
5,1999-11-01,1999,11
6,2000-11-01,2000,11
7,2001-06-01,2001,6
8,2001-12-01,2001,12
9,2002-08-28,2002,8
10,2003-05-01,2003,5
11,2003-07-01,2003,7
12,2003-11-01,2003,11
13,2004-03-01,2004,3
14,2004-06-01,2004,6
15,2004-11-01,2004,11
16,2004-11-16,2004,11
17,2005-04-01,2005,4
18,2005-07-11,2005,7
19,2005-10-12,2005,10
20,2005-10-27,2005,10
21,2005-11-29,2005,11
22,2005-12-01,2005,12
23,2006-02-07,2006,2
24,2006-03-14,2006,3
25,2006-04-01,2006,4
26,2006-05-01,2006,5
27,2006-05-08,2006,5
28,2006-05-10,2006,5
29,2006-06-01,2006,6
30,2006-07-06,2006,7
31,2006-07-11,2006,7
32,2006-07-21,2006,7
33,2006-07-26,2006,7
34,2006-08-23,2006,8
35,2006-08-24,2006,8
36,2006-08-30,2006,8
37,2006-09-11,2006,9
38,2006-09-14,2006,9
39,2006-09-29,2006,9
40,2006-10-05,2006,10
41,2006-10-11,2006,10
42,2006-10-13,2006,10
43,2006-10-16,2006,10
44,2006-10-25,2006,10
45,2006-10-26,2006,10
46,2006-11-01,2006,11
47,2006-11-07,2006,11
48,2006-11-20,2006,11
49,2006-11-22,2006,11
50,2006-11-24,2006,11
51,2006-11-29,2006,11
52,2006-12-14,2006,12
53,2006-12-19,2006,12
54,2006-12-21,2006,12
55,2007-01-12,2007,1
56,2007-01-24,2007,1
57,2007-02-02,2007,2
58,2007-02-14,2007,2
59,2007-02-27,2007,2
60,2007-03-06,2007,3
61,2007-03-13,2007,3
62,2007-03-14,2007,3
63,2007-03-15,2007,3
64,2007-03-20,2007,3
65,2007-03-22,2007,3
66,2007-03-27,2007,3
67,2007-03-29,2007,3
68,2007-04-03,2007,4
69,2007-04-06,2007,4
70,2007-05-01,2007,5
71,2007-05-04,2007,5
72,2007-06-01,2007,6
73,2007-06-05,2007,6
74,2007-06-18,2007,6
75,2007-06-22,2007,6
76,2007-06-25,2007,6
77,2007-06-26,2007,6
78,2007-07-03,2007,7
79,2007-07-12,2007,7
80,2007-07-17,2007,7
81,2007-07-20,2007,7
82,2007-07-24,2007,7
83,2007-08-03,2007,8
84,2007-08-06,2007,8
85,2007-08-07,2007,8
86,2007-08-21,2007,8
87,2007-08-28,2007,8
88,2007-08-29,2007,8
89,2007-09-11,2007,9
90,2007-09-21,2007,9
91,2007-09-24,2007,9
92,2007-10-10,2007,10
93,2007-10-15,2007,10
94,2007-10-16,2007,10
95,2007-10-30,2007,10
96,2007-11-05,2007,11
97,2007-11-07,2007,11
98,2007-11-08,2007,11
99,2007-11-14,2007,11
100,2007-12-13,2007,12
101,2007-12-14,2007,12
102,2008-01-04,2008,1
103,2008-01-18,2008,1
104,2008-01-29,2008,1
105,2008-02-08,2008,2
106,2008-02-13,2008,2
107,2008-02-15,2008,2
108,2008-02-20,2008,2
109,2008-02-28,2008,2
110,2008-02-29,2008,2
111,2008-03-05,2008,3
112,2008-03-12,2008,3
113,2008-03-21,2008,3
