genre_id,genre_name
1,360 Video
2,Accounting
3,Action
4,Adventure
5,Animation & Modeling
6,Arcade
7,Audio Production
8,Casual
9,Design & Illustration
10,Documentary
11,Early Access
12,Education
13,Episodic
14,Free To Play
15,Game Development
16,Gore
17,Indie
18,Massively Multiplayer
19,Movie
20,Nudity
21,Photo Editing
22,Platformer
23,Puzzle
24,RPG
25,Racing
26,Sexual Content
27,Shooter
28,Short
29,Simulation
30,Software Training
31,Sports
32,Strategy
33,Tutorial
34,Utilities
35,Video Production
36,Violent
37,Web Publishing
